MAG_ID,species,sample_name_1,sample_name_2,n_scaffolds_pair,prop_MAG_scaffolds,median_popANI,prop_scaffolds_high,meets_min_scaffolds,meets_prop_MAG,meets_prop_high,shared_strain,ID_1,nPID_1,nTID_1,nSID_1,Study_Group_1,Cycle_1,Visit_1,CollectDate_1,Source_1,WGS_org_1,WGS_bact_strain_1,WGS_strain_num_1,Seq_1,ID_2,nPID_2,nTID_2,nSID_2,Study_Group_2,Cycle_2,Visit_2,CollectDate_2,Source_2,WGS_org_2,WGS_bact_strain_2,WGS_strain_num_2,Seq_2
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0038_S642,APPS0051_S647,555,0.761316872,1,0.857142857,TRUE,TRUE,TRUE,TRUE,P15_W1_PR,P15,W1,P15_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS,P21_W1_PR,P21,W1,P21_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0040_S643,p23220-s380_SNT0010PR-S-day14,625,0.85733882,1,0.811594203,TRUE,TRUE,TRUE,TRUE,P16_W1_PR,P16,W1,P16_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS,P32_W9_PR,P32,W9,P32_W9,SNT,2,D14,7/5/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0040_S643,p23220-s382_SNT0010PR-S-day28,655,0.898491084,1,0.846153846,TRUE,TRUE,TRUE,TRUE,P16_W1_PR,P16,W1,P16_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS,P32_W11_PR,P32,W11,P32_W11,SNT,2,D28,7/19/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0051_S647,APPS0053PR-S2,566,0.776406036,1,0.974358974,TRUE,TRUE,TRUE,TRUE,P21_W1_PR,P21,W1,P21_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0051_S647,p23220-s374_SNT0009PR-S-day7,560,0.768175583,1,0.825,TRUE,TRUE,TRUE,TRUE,P21_W1_PR,P21,W1,P21_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS,P49_W9_PR,P49,W9,P49_W9,SNT,2,D07,7/5/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,APPS0076_S666,398,0.545953361,1,0.894736842,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P48_W6_PR,P48,W6,P48_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s322_snt0006-d0prccfa05-01-23-1of1_s321,709,0.972565158,1,0.960714286,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P29_W2_PR,P29,W2,P29_W2,SNT,1,D00,5/14/23,PR,Clostridioides difficile,C. difficile_6,6,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s339_snt0010-d21prccfa06-22-23-1of1_s338,686,0.941015089,1,0.815165877,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P32_W10_PR,P32,W10,P32_W10,SNT,2,D21,7/12/23,PR,Clostridioides difficile,C. difficile_3,3,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s365_SNT0007PR-S-day0,694,0.951989026,1,0.803680982,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W2_PR,P30,W2,P30_W2,SNT,1,D00,5/14/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s374_SNT0009PR-S-day7,692,0.949245542,1,0.819148936,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P49_W9_PR,P49,W9,P49_W9,SNT,2,D07,7/5/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s382_SNT0010PR-S-day28,649,0.890260631,1,0.857142857,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P32_W11_PR,P32,W11,P32_W11,SNT,2,D28,7/19/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0053PR-S2,p23220-s400_APPS0053PR-S,707,0.969821674,1,0.975845411,TRUE,TRUE,TRUE,TRUE,P23_W6_PR,P23,W6,P23_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P23_W1_PR,P23,W1,P23_W1,APPS,1,APPS,5/7/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s314_apps0044-2-envccfa05-22-23-1of1_s313,710,0.9739369,1,0.962804006,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W6_env,P26,W6,P26_W6,SNT,1,D28,6/11/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s315_snt0001-d0prccfa04-24-23-1of1_s314,707,0.969821674,1,0.987161198,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W2_PR,P26,W2,P26_W2,SNT,1,D00,5/14/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s316_snt0001-d7prccfa05-01-23-1of1_s315,705,0.967078189,1,0.988555079,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W3_PR,P26,W3,P26_W3,SNT,1,D07,5/21/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s317_snt0001-d7envccfa05-01-23-1of1_s316,704,0.965706447,1,0.987106017,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W3_env,P26,W3,P26_W3,SNT,1,D07,5/21/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s318_snt0001-d21prccfa05-15-23-1of1_s317,708,0.971193416,1,0.99,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W5_PR,P26,W5,P26_W5,SNT,1,D21,6/4/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s319_snt0001-d21envccfa05-15-23-1of1_s318,706,0.968449931,1,0.97574893,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W5_env,P26,W5,P26_W5,SNT,1,D21,6/4/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s327_snt0007-d0prccfa04-24-23-1of1_s326,702,0.962962963,1,0.991291727,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W2_PR,P30,W2,P30_W2,SNT,1,D00,5/14/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s328_snt0007-d0envccfa04-24-23-1of1_s327,706,0.968449931,1,0.99137931,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W2_env,P30,W2,P30_W2,SNT,1,D00,5/14/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s329_snt0007-d7prccfa05-01-23-1of1_s328,707,0.969821674,1,0.991240876,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W3_PR,P30,W3,P30_W3,SNT,1,D07,5/21/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s330_snt0007-d21prccfa05-15-23-1of1_s329,706,0.968449931,1,0.995601173,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W5_PR,P30,W5,P30_W5,SNT,1,D21,6/4/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s331_snt0007-d28prccfa05-15-23-1of1_s330,704,0.965706447,1,0.99276411,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W6_PR,P30,W6,P30_W6,SNT,1,D28,6/12/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s335_snt0009-d28envccfa07-06-23-1of1_s334,707,0.969821674,1,0.98989899,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P49_W12_env,P49,W12,P49_W12,SNT,2,D28,7/26/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s341_snt0012-d7prccfa06-08-23-1of1_s340,707,0.969821674,1,0.991440799,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P51_W8_PR,P51,W8,P51_W8,SNT,2,D07,6/28/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s342_snt0013-d7prccfa06-08-23-1of1_s341,706,0.968449931,1,0.992826399,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W8_PR,P26,W8,P26_W8,SNT,2,D07,6/28/23,PR,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s343_snt0013-d7envccfa06-08-23-1of1_s342,706,0.968449931,1,0.985714286,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W8_env,P26,W8,P26_W8,SNT,2,D07,6/28/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s345_apps0060-envccfa05-22-23-1of1_s344,708,0.971193416,1,0.997159091,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P37_W6_env,P37,W6,P37_W6,APPS,2,APPS,6/11/23,env,Clostridioides difficile,C. difficile_1,1,WGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s353_SNT0001PR-S-day0,694,0.951989026,1,0.989189189,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W2_PR,P26,W2,P26_W2,SNT,1,D00,5/14/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s365_SNT0007PR-S-day0,703,0.964334705,1,0.968814969,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P30_W2_PR,P30,W2,P30_W2,SNT,1,D00,5/14/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s393_SNT0013PR-S-day7,703,0.964334705,1,0.996875,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W8_PR,P26,W8,P26_W8,SNT,2,D07,6/28/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0060_S654,p23220-s402_SNT0001PR-S-day14,706,0.968449931,1,0.98838897,TRUE,TRUE,TRUE,TRUE,P37_W6_PR,P37,W6,P37_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P26_W4_PR,P26,W4,P26_W4,SNT,1,D14,5/28/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0061_S655,p23220-s382_SNT0010PR-S-day28,640,0.877914952,1,0.80733945,TRUE,TRUE,TRUE,TRUE,P38_W6_PR,P38,W6,P38_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P32_W11_PR,P32,W11,P32_W11,SNT,2,D28,7/19/23,PR,NA,NA,NA,mNGS
APPS0040_S643_concoct_bin16,Clostridioides difficile,APPS0071_S663,p23220-s313_apps0071-envccfa05-22-23-1of-1_s312,699,0.958847737,1,0.971139971,TRUE,TRUE,TRUE,TRUE,P45_W6_PR,P45,W6,P45_W6,APPS,2,APPS,6/11/23,PR,NA,NA,NA,mNGS,P45_W6_env,P45,W6,P45_W6,APPS,2,APPS,6/11/23,env,Clostridioides difficile,C. difficile_2,2,WGS
